pais,fecha,tasa_finalizacion,mexico,post_lanzamiento,interaccion,nivel_socioeconomico,intensidad_uso_plataforma_pre
Mexico,2025-09-01,0.5739855513813897,1,0,0,6.014529321590747,9.155709927976191
Colombia,2025-09-01,0.5002061034444988,0,0,0,4.646700080649987,13.88147690656087
Mexico,2026-03-01,0.6139965042898748,1,1,1,5.201726084050226,7.570221376822832
Colombia,2026-02-01,0.5144820541738749,0,1,0,4.722510341764663,13.397686001246517
Mexico,2025-08-01,0.5284157406830501,1,0,0,4.897457497645479,7.662580504746404
Colombia,2026-06-01,0.5238202283944114,0,1,0,4.613760377014603,9.503378546559385
Mexico,2025-10-01,0.5360341170327318,1,0,0,6.136015797074351,10.03960019409893
Colombia,2026-05-01,0.516164939761358,0,1,0,4.743324639436402,12.022728952402943
Mexico,2026-06-01,0.6015124115162237,1,1,1,4.981885062402636,11.332308611910777
Colombia,2025-11-01,0.4851457896434468,0,0,0,4.402264624103233,10.999516641505232
Mexico,2025-07-01,0.5372433036816503,1,0,0,6.236965646129884,10.43632420950307
Colombia,2026-01-01,0.5050302388048604,0,1,0,4.757870902892994,11.08984950306171
Mexico,2025-11-01,0.5277439366601439,1,0,0,4.881729352924168,9.08868652611796
Colombia,2026-04-01,0.5303977546682705,0,1,0,4.896172605804368,11.834076046398246
Mexico,2026-04-01,0.6152509172601726,1,1,1,6.565457814725026,11.041697334758509
Colombia,2025-08-01,0.490805179043743,0,0,0,4.433946258079815,10.643322137025816
Mexico,2026-01-01,0.6121960252321473,1,1,1,5.267868516905597,9.390778810795493
Colombia,2025-07-01,0.5059632882269929,0,0,0,4.52042732152815,10.870349830561574
Mexico,2025-12-01,0.5376840332887648,1,0,0,6.273760599522198,10.49061093121544
Colombia,2026-03-01,0.5249537965806338,0,1,0,4.590161477438173,11.077209774640417
Mexico,2026-05-01,0.6125032515093557,1,1,1,5.748378941077366,10.380064560700555
Colombia,2025-10-01,0.4891503378546132,0,0,0,4.469503463765181,10.806653655113945
Mexico,2026-02-01,0.6087796919565578,1,1,1,5.186638531737408,7.399564887309503
Colombia,2025-12-01,0.4965306631853612,0,0,0,4.723023220790695,10.198308434079836
Mexico,2025-08-01,0.5292415174092764,1,0,0,5.039602753232675,9.66310243606775
Colombia,2025-08-01,0.4920668474261453,0,0,0,4.512613580556608,10.323537446549222
Mexico,2026-04-01,0.6067711422709236,1,1,1,5.127885404554286,7.561937172049072
Colombia,2026-06-01,0.5055010079965027,0,1,0,4.041639014285223,10.155462841443685
Mexico,2025-07-01,0.5367610056976269,1,0,0,5.495209350355182,10.183701639999971
Colombia,2025-09-01,0.4912953267798305,0,0,0,4.223849187178082,10.966453188599426
Mexico,2026-06-01,0.6001099197931309,1,1,1,5.013580436423072,11.396781226879268
Colombia,2025-10-01,0.485981504543794,0,0,0,4.364402636906649,11.139634288057276
Mexico,2026-03-01,0.612089693248386,1,1,1,5.553257018341671,7.279619089201559
Colombia,2025-07-01,0.4975730263300305,0,0,0,4.409893963383411,10.16541604085465
Mexico,2025-10-01,0.5303498862803273,1,0,0,5.438596634887754,10.424361099684535
Colombia,2026-01-01,0.5082163102179832,0,1,0,4.89745199651586,11.127764726596395
Mexico,2025-07-01,0.5367605990422329,1,0,0,5.539257692257929,9.453303102640237
Colombia,2025-11-01,0.4977457787474737,0,0,0,4.908064973307525,10.741040685651587
Mexico,2026-02-01,0.6053327663365893,1,1,1,5.226829141065792,7.404245645511046
Colombia,2026-04-01,0.5065448370908122,0,1,0,4.197945041916328,10.45789721617255
Mexico,2025-09-01,0.5284489814408013,1,0,0,5.19125547055734,9.150035544719248
Colombia,2026-03-01,0.5137233215286208,0,1,0,4.444391696236318,10.180492984950275
