tienda_id,fecha,ventas,experiencia_gerente,marketing_regional
1,2018-01-01,159677.3,8.0,10517.91
1,2018-01-31,162232.0,8.08,10385.1
1,2018-03-02,152643.0,8.17,10012.22
1,2018-04-01,157291.56,8.25,9531.67
1,2018-05-01,153303.88,8.33,9690.69
1,2018-05-31,146747.88,8.42,10659.62
1,2018-07-01,158655.45,8.5,10300.74
1,2018-07-31,160351.46,8.58,10582.49
1,2018-08-31,162089.06,8.67,10935.08
1,2018-10-01,168128.79,8.75,10156.91
1,2018-10-31,160471.93,8.83,10173.35
1,2018-11-30,154215.11,8.92,10229.08
1,2018-12-31,155169.58,9.0,10484.77
1,2019-01-30,166318.06,9.08,11186.29
1,2019-03-01,161394.04,9.17,11210.02
1,2019-03-31,167195.91,9.25,11283.03
1,2019-05-01,163273.66,9.33,11145.06
1,2019-05-31,156475.25,9.42,11270.44
1,2019-07-01,164893.9,9.5,11295.12
1,2019-07-31,166687.59,9.58,11488.75
1,2019-08-30,167732.14,9.67,11586.35
1,2019-09-30,173007.82,9.75,11603.25
1,2019-10-30,166099.91,9.83,11520.13
1,2019-11-30,160292.05,9.92,11516.48
1,2019-12-30,161204.09,10.0,11762.3
1,2020-01-29,170889.47,10.08,12192.5
1,2020-02-29,166164.7,10.17,12217.16
1,2020-03-30,172153.3,10.25,12365.17
1,2020-04-29,167576.01,10.33,12371.74
1,2020-05-29,160699.93,10.42,12301.69
1,2020-06-29,169420.93,10.5,12497.04
1,2020-07-29,171458.74,10.58,12683.94
1,2020-08-28,172102.34,10.67,12503.24
1,2020-09-28,177726.27,10.75,12834.01
1,2020-10-28,170701.37,10.83,12822.46
1,2020-11-27,164010.5,10.92,12760.31
1,2020-12-28,165438.2,11.0,12920.65
1,2021-01-27,174665.43,11.08,13158.55
1,2021-02-26,169871.95,11.17,13251.64
1,2021-03-29,175026.04,11.25,13360.77
1,2021-04-28,170295.6,11.33,13262.15
1,2021-05-28,162602.82,11.42,13222.18
1,2021-06-27,171092.4,11.5,13418.57
1,2021-07-27,173003.54,11.58,13591.13
1,2021-08-27,173663.85,11.67,13661.16
1,2021-09-26,179040.64,11.75,13598.81
1,2021-10-26,172421.14,11.83,13664.24
1,2021-11-26,165600.08,11.92,13627.02
1,2021-12-26,167448.33,12.0,13795.59
1,2022-01-25,176274.65,12.08,13996.11
1,2022-02-24,171738.57,12.17,14088.35
1,2022-03-27,176717.65,12.25,14188.76
1,2022-04-26,171882.26,12.33,14138.83
1,2022-05-26,164287.49,12.42,14092.68
1,2022-06-25,172810.02,12.5,14299.71
1,2022-07-25,174673.5,12.58,14470.18
1,2022-08-25,175376.12,12.67,14435.03
1,2022-09-24,180517.91,12.75,14466.86
1,2022-10-24,173950.4,12.83,14532.79
1,2022-11-23,167098.39,12.92,14537.47
1,2022-12-23,168805.9,13.0,14674.28
2,2018-01-01,150247.96,6.0,10317.91
