cliente_id,gasto_previo,antiguedad_cliente,num_usuarios,recibio_premium,renovo
0,12361.35,7,5,1,1
1,9111.96,5,3,0,1
2,11892.42,7,5,1,1
3,9757.57,6,3,0,1
4,7666.02,5,3,0,0
5,9204.62,5,3,0,1
6,10852.79,6,4,1,1
7,10310.82,6,4,1,1
8,13159.20,7,5,1,1
9,9751.29,6,3,0,1
10,11183.17,6,4,1,1
11,10935.53,6,4,1,1
12,12230.13,7,5,1,1
13,8335.79,5,3,0,0
14,12484.77,7,5,1,1
15,10854.76,6,4,1,1
16,11048.65,6,4,1,1
17,11306.94,6,4,1,1
18,10303.49,6,4,1,1
19,10328.79,6,4,1,1
20,10991.66,6,4,1,1
21,9574.65,6,3,0,1
22,9339.29,5,3,0,1
23,10940.71,6,4,1,1
24,10515.22,6,4,1,1
25,12502.50,7,5,1,1
26,11175.76,6,4,1,1
27,10012.24,6,4,1,1
28,10357.55,6,4,1,1
29,10221.36,6,4,1,1
30,12301.99,7,5,1,1
31,8872.29,5,3,0,1
32,10931.32,6,4,1,1
33,10173.07,6,4,1,1
34,10358.53,6,4,1,1
35,11603.55,7,4,1,1
36,11041.59,6,4,1,1
37,9750.92,6,3,0,1
38,10530.73,6,4,1,1
39,11218.49,6,4,1,1
40,11204.60,6,4,1,1
41,9111.45,5,3,0,1
42,10006.18,6,4,1,1
43,10934.78,6,4,1,1
44,10214.39,6,4,1,1
45,10219.78,6,4,1,1
46,12852.12,7,5,1,1
47,10967.63,6,4,1,1
48,12458.12,7,5,1,1
49,11352.47,6,4,1,1
50,9097.35,5,3,0,1
51,10168.61,6,4,1,1
52,10711.08,6,4,1,1
53,10022.61,6,4,1,1
54,10850.29,6,4,1,1
55,10357.25,6,4,1,1
56,12028.60,7,5,1,1
57,8045.28,5,2,0,0
58,10287.05,6,4,1,1
59,10185.08,6,4,1,1
60,11170.81,6,4,1,1
61,10531.02,6,4,1,1
62,11214.52,6,4,1,1
63,10864.83,6,4,1,1
64,10008.27,6,4,1,1
65,10074.87,6,4,1,1
66,10499.70,6,4,1,1
67,10492.20,6,4,1,1
68,10313.31,6,4,1,1
69,11280.40,6,4,1,1
70,9586.27,6,3,0,1
71,11488.74,7,4,1,1
72,9903.02,6,3,0,1
73,12170.19,7,5,1,1
74,12423.82,7,5,1,1
75,10228.68,6,4,1,1
76,12384.66,7,5,1,1
77,10255.43,6,4,1,1
78,10940.67,6,4,1,1
79,10103.54,6,4,1,1
80,11311.14,6,4,1,1
81,10332.25,6,4,1,1
82,10645.54,6,4,1,1
83,10996.90,6,4,1,1
84,10496.22,6,4,1,1
85,10058.64,6,4,1,1
86,10060.05,6,4,1,1
87,10054.34,6,4,1,1
88,11048.91,6,4,1,1
89,12239.51,7,5,1,1
90,10166.70,6,4,1,1
91,10342.66,6,4,1,1
92,9753.81,6,3,0,1
93,10826.54,6,4,1,1
94,10066.82,6,4,1,1
95,10582.46,6,4,1,1
96,10998.66,6,4,1,1
97,10034.48,6,4,1,1
98,10729.81,6,4,1,1
99,10108.66,6,4,1,1
100,10398.54,6,4,1,1
101,10355.24,6,4,1,1
102,11281.33,6,4,1,1
103,11531.06,7,4,1,1
104,10419.86,6,4,1,1
105,10086.99,6,4,1,1
106,10191.13,6,4,1,1
107,10469.76,6,4,1,1
108,10291.56,6,4,1,1
109,10688.16,6,4,1,1
110,10108.19,6,4,1,1
111,10091.20,6,4,1,1
112,10353.94,6,4,1,1
113,10464.76,6,4,1,1
114,10072.04,6,4,1,1
115,10373.95,6,4,1,1
116,10287.97,6,4,1,1
117,10090.76,6,4,1,1
118,10874.65,6,4,1,1
119,10905.74,6,4,1,1
120,10107.82,6,4,1,1
121,9991.24,6,3,0,1
122,10065.92,6,4,1,1
123,10353.48,6,4,1,1
124,10069.93,6,4,1,1
125,10433.80,6,4,1,1
126,10088.08,6,4,1,1
127,10515.65,6,4,1,1
128,11153.20,6,4,1,1
129,9977.85,6,3,1,1
130,10031.54,6,4,1,1
131,10023.71,6,4,1,1
132,10059.04,6,4,1,1
133,10123.67,6,4,1,1
134,10065.68,6,4,1,1
135,10041.53,6,4,1,1
136,10035.16,6,4,1,1
137,10034.78,6,4,1,1
138,10040.85,6,4,1,1
139,10042.87,6,4,1,1
140,10032.54,6,4,1,1
141,10045.54,6,4,1,1
142,10031.62,6,4,1,1
143,10059.27,6,4,1,1
144,10072.24,6,4,1,1
145,10032.84,6,4,1,1
146,10041.76,6,4,1,1
147,10031.81,6,4,1,1
148,10035.09,6,4,1,1
149,10038.38,6,4,1,1
150,10034.16,6,4,1,1
151,10042.92,6,4,1,1
152,10044.88,6,4,1,1
153,10035.80,6,4,1,1
154,10040.67,6,4,1,1
155,10032.55,6,4,1,1
156,10032.25,6,4,1,1
157,10034.22,6,4,1,1
158,10035.63,6,4,1,1
159,10037.28,6,4,1,1
160,10035.98,6,4,1,1
161,10040.54,6,4,1,1
162,10038.52,6,4,1,1
163,10045.29,6,4,1,1
164,10035.02,6,4,1,1
165,10040.71,6,4,1,1
166,10032.80,6,4,1,1
167,10031.78,6,4,1,1
